ball,bowler_batsman,result,commentary,length,line
17.5,"Ashwin to Labuschagne, 1 run",1,"good length on leg stump, pushed into the leg side with the turn",Good,Leg Stump
17.4,"Ashwin to Labuschagne, no run",â€¢,"short of a length at off stump, cuts to cover point",Good,Outside Off
17.3,"Ashwin to Labuschagne, no run",â€¢,"Shaw's lost the ball as he takes an evasive stance at short leg. Marnus down the pitch, beaten in flight looing to hack it into the leg side. Not sure if there was an inside edge on that. Lobbed to Shaw's left and he was looking behind initially. Couldn't spot it",Short,Leg Stump
17.2,"Ashwin to Wade, OUT",W,"oh well, India will take that. Bizarre dismissal. Down the track and Ashwin spots him coming and fires it into his feet. Clips into the on side, straight into Shaw's right leg at short leg, and the ball rolls quickly to Saha with Wade well out of his crease. He picks up quickly to his right and gets a backhand flick between his legs without looking. A direct hit with Wade slipping and caught well outside the crease",Short,Outside Off
17.1,"Ashwin to Wade, no run",â€¢,"full, angling into leg stump, clipped to short leg",Full,Leg Stump
16.6,"Yadav to Burns, no run",â€¢,"length ball angling into off stump. Went slightly wider on the crease there, possibly. Looks to drive into the covers with a bit of a gap between bat and pad. Hits the inside half of the bat and bounces down into the pitch",Good,Outside Off
16.5,"Yadav to Burns, 2 runs",2,"shortish, rising ball on off stump. Hits the shoulder of his bat as he looks to defend, squeezes it away between gully and backward point",Short,Outside Off
16.4,"Yadav to Burns, 2 runs",2,"angles into the pads now, clipped to long leg",Unknown,Leg Stump
16.3,"Yadav to Burns, no run",â€¢,"length ball on off stump, blocked back to the bowler",Good,Off Stump
16.2,"Yadav to Burns, 2 runs",2,"digs it in short, and Burns gets a slice of luck. Looks to pull, the ball sticks in the pitch momentarily and then climbs higher than expected, just outside off. Top edge, flies high but beyond the reach of square leg turning around and running back",Short,Outside Off
16.1,"Yadav to Wade, 1 run",1,"back of a length, tucked off the hip to long leg",Good,Off Stump
15.6,"Ashwin to Burns, no run",â€¢,"tossed up just outside off, dips on Burns a bit, forces him to clip to midwicket rather than straighter as he'd hoped",Full,Outside Off
15.5,"Ashwin to Burns, no run",â€¢,"flat, turning down leg, clipped to leg gully",Good,Outside Off
15.4,"Ashwin to Burns, FOUR runs",4,"down the track again, confident footwork, and this time he's just far enough from the ball to extend his arms and loft it back over the bowler",Unknown,Unknown
15.3,"Ashwin to Burns, no run",â€¢,"sharp turn, past the front-foot flick and down the leg side",Unknown,Leg Stump
15.2,"Ashwin to Burns, FOUR runs",4,"this time he does get out of his crease, quick footwork to get to the pitch of this flighted one, get his front leg away from the line, and whip it back past the stumps at the other end",Unknown,Leg Stump
15.1,"Ashwin to Burns, no run",â€¢,"tossed up just outside off, thinks of stepping out but can only go so far before having to clip it back to the bowler",Full,Outside Off
14.6,"Bumrah to Wade, no run",â€¢,"length ball close to off stump, blocked back towards Bumrah",Good,Off Stump
14.5,"Bumrah to Wade, no run",â€¢,"back of a length, not far from off stump, good leave",Good,Off Stump
14.4,"Bumrah to Wade, no run",â€¢,"bouncer, angling in over the stumps, Wade's initial movement is a forward press, but he ducks it comfortably enough",Short,Unknown
14.3,"Bumrah to Wade, no run",â€¢,"full, angling into off stump, clipped to midwicket",Full,Off Stump
14.2,"Bumrah to Burns, 1 run",1,"length ball on off stump, gets forward to clip to mid-on",Good,Off Stump
14.1,"Bumrah to Burns, no run",â€¢,"length ball angling into off stump, gets right behind it to defend",Good,Off Stump
13.6,"Ashwin to Wade, no run",â€¢,"once again that's flighted slow outside off, and Wade gets down low to sweep it hard, into the ground and then the right shoulder of the fielder at short leg. He looks in pain here... Vihari the fielder.",Short,Outside Off
13.5,"Ashwin to Wade, no run",â€¢,"tossed up fuller outside off, presses forward and blocks to cover point",Full,Outside Off
13.4,"Ashwin to Wade, no run",â€¢,"tossed up invitingly outside off, left alone. This went with the angle",Full,Outside Off
13.3,"Ashwin to Wade, no run",â€¢,"full, angling in towards leg stump, clipped to midwicket",Full,Leg Stump
13.2,"Ashwin to Burns, 1 run",1,"on the back foot again, this one pitches slightly wider outside off, and he can stay leg-side of it and punch through cover point",Good,Outside Off
13.1,"Ashwin to Burns, no run",â€¢,goes back to a length ball and clips to backward square leg,Good,Leg Stump
12.6,"Bumrah to Burns, 1 run",1,"short now, on off stump, pulled to deep square leg",Short,Off Stump
12.5,"Bumrah to Wade, 1 run",1,"length ball close to off stump, defends with soft hands, to the left of backward point",Good,Outside Off
12.4,"Bumrah to Wade, no run",â€¢,"length ball angling into off stump. Looks to punch through the covers, hits the inside half of the bat and goes to midwicket instead",Good,Outside Off
12.3,"Bumrah to Wade, no run",â€¢,"length ball angling in, not too far outside off. Leaves on length as much as line",Good,Outside Off
12.2,"Bumrah to Wade, no run",â€¢,"full again, driven to mid-off",Full,Off Stump
12.1,"Bumrah to Wade, no run",â€¢,"full, angling into off stump, gets forward to defend, nice and close to the pitch of the ball",Full,Off Stump
11.6,"Ashwin to Burns, no run",â€¢,"hurries Burns into a defensive shot again, cramps him for room on the back foot. Jammed down into the off side",Unknown,Off Stump
11.5,"Ashwin to Burns, no run",â€¢,"quick turn as Burns goes on the back foot to defend. Bounces too, hits him on the thigh pad",Unknown,Leg Stump
11.4,"Ashwin to Wade, 1 run",1,"nicely bowled. Dips onto a length around off stump. Again Wade's bat comes down at an angle while defending, and the ball turns to take the outside edge and roll behind square on the off side",Good,Off Stump
11.3,"Ashwin to Wade, no run",â€¢,skips out but comes too early. Ashwin shortens his length a little and he stretches out to defend into the off side,Good,Off Stump
11.2,"Ashwin to Wade, no run",â€¢,"flighted ball on middle and leg, bat has to come down at an angle to defend in front of his pad",Unknown,Middle Stump
11.1,"Ashwin to Wade, no run",â€¢,"length ball skidding on towards off stump, goes back to punch it back to the bowler",Good,Off Stump
10.6,"Bumrah to Burns, no run",â€¢,"big appeal as Burns falls over a flick, playing around his front pad. India will keep targeting him there right through this series. Not given, and Kohli thinks for a while before agreeing to review. Could be going down leg, possibly? Nope, inside-edge onto pad",Unknown,Leg Stump
10.5,"Bumrah to Burns, no run",â€¢,"back of a length close to off stump, shuffles across to defend, gets a thick edge that rolls into the backward point region",Good,Outside Off
10.4,"Bumrah to Burns, 2 runs",2,"back of a length, angling in towards off stump, gets across to work it through square leg. Brings up Australia's 50",Good,Off Stump
10.3,"Bumrah to Wade, 1 run",1,"length ball nipping in slightly towards middle stump, nudged to the left of midwicket",Good,Middle Stump
10.2,"Bumrah to Wade, no run",â€¢,"length ball, stops on the pitch slightly and nips in towards off stump. He's almost searching for the ball while trying to flick it. Inside-edged into pad",Good,Off Stump
10.1,"Bumrah to Wade, no run",â€¢,"length ball angling into off stump, punched into the covers",Good,Outside Off
9.6,"Ashwin to Burns, no run",â€¢,"tossed up just outside off, stretches out and blocks it back",Full,Outside Off
9.5,"Ashwin to Burns, no run",â€¢,"flat on the pads, clipped to backward square leg",Good,Leg Stump
9.4,"Ashwin to Burns, no run",â€¢,"length ball, quicker, on the stumps, goes back to clip to midwicket",Good,Unknown
9.3,"Ashwin to Burns, no run",â€¢,"wow. He's looking to finish it early. Steps out and has a mighty slog at this, but it dips and turns and misses his edge to hit his front leg",Unknown,Leg Stump
9.2,"Ashwin to Burns, no run",â€¢,"a touch shorter, goes back to work it to backward square leg",Short,Leg Stump
9.1,"Ashwin to Burns, no run",â€¢,"steps out but can't get to the pitch of this flighted ball. Looks to flick, and it's off the inside half of the bat between leg slip and short leg",Short,Outside Off
8.6,"Yadav to Wade, no run",â€¢,"short, at the hip, gets across and gets closed-off again. Can't get his bat around his body in time to flick it off his hip, so just steps across and leaves it instead",Short,Off Stump
8.5,"Yadav to Wade, no run",â€¢,"bouncer, angles well down the leg side. Wade ducks without too much discomfort",Short,Leg Stump
8.4,"Yadav to Wade, no run",â€¢,"digs it in short, and Wade gets into a closed-off position while trying to negotiate it. Looks to fend it away, gets hit on the chest, with maybe a bit of glove on the way through",Short,Off Stump
8.3,"Yadav to Wade, FOUR runs",4,"overpitched outside off, gets forward and drives with an open face to the right of backward point",Unknown,Outside Off
8.2,"Yadav to Wade, no run",â€¢,"length ball outside off, left alone",Good,Outside Off
8.1,"Yadav to Wade, FOUR runs",4,"back of a length, angling down leg. Looks to work it away but all he gets on the ball is thigh pad. Four runs either way, though",Good,Leg Stump
7.6,"Bumrah to Burns, 2 runs",2,"length ball outside off, presses forward and pushes into the cover point region",Good,Outside Off
7.6,"Bumrah to Burns, (no ball)",1nb,"bouncer outside off, Burns ducks and avoids it",Short,Outside Off
7.5,"Bumrah to Burns, FOUR runs",4,"short outside off, and Burns seems to be waiting for it. Pounces with a fierce pull between the square leg umpire and the fielder at midwicket",Short,Outside Off
7.4,"Bumrah to Burns, no run",â€¢,"back of a length outside off, left alone",Good,Outside Off
7.3,"Bumrah to Burns, 2 runs",2,"shortish in the corridor, Burns gets a thick edge as he defends with hard hands, runs away through point",Short,Outside Off
7.2,"Bumrah to Burns, no run",â€¢,"length ball, fifth-stump line, left alone",Good,Unknown
7.1,"Bumrah to Wade, 1 run",1,"length ball close to off stump, opens his bat face and steers it wide of gully",Good,Outside Off
6.6,"Yadav to Burns, FOUR runs",4,"short on off stump, sits up a little, and Burns can swivel and pull it away in front of square",Short,Off Stump
6.5,"Yadav to Wade, 3 runs",3,"short now, rears up as it slants across the batsman. Jabs at it as it rises to shoulder height, pulling his bottom hand off the handle, and the thick edge runs away between the slips and gully",Short,Outside Off
6.4,"Yadav to Wade, 2 runs",2,"length ball on the pads, worked away through backward square leg",Good,Leg Stump
6.3,"Yadav to Wade, no run",â€¢,"full, slanting away from off, left alone",Full,Off Stump
6.2,"Yadav to Wade, no run",â€¢,"length ball slanting away from off stump, uses his wrists to try and pick up a leg-side single, but square leg moves quickly to his left to stop it",Good,Off Stump
6.1,"Yadav to Wade, no run",â€¢,"length ball slanting across to off stump, defended back to the bowler",Good,Off Stump
5.6,"Bumrah to Burns, no run",â€¢,"bouncer now, angling slightly down leg. Steps across and lets it go past his left shoulder",Short,Leg Stump
5.5,"Bumrah to Burns, FOUR runs",4,"back of a length in the corridor, straightens a touch as Burns defends with an open face. Runs away off the outside half of the bat between third slip and gully",Good,Outside Off
5.4,"Bumrah to Burns, no run",â€¢,"length ball angling into middle stump, defended back to the bowler, his bat slicing across his front pad a little",Good,Middle Stump
5.3,"Bumrah to Burns, no run",â€¢,"back of a length close to off stump, lets it come on and defends towards backward point",Good,Outside Off
5.2,"Bumrah to Burns, no run",â€¢,"length ball outside off, left alone",Good,Outside Off
5.1,"Bumrah to Wade, 1 run",1,"appeal first up as Wade comes forward to play one angled into his off stump. He wants to push into the covers, and he manages it via a thick inside-edge into his pad",Good,Outside Off
4.6,"Yadav to Burns, no run",â€¢,"short at the ribs, jumps to get behind that and drops it into the leg side. Wade scampers down and is sent back. The direct hit catches him well inside at the other end",Short,Leg Stump
4.5,"Yadav to Burns, no run",â€¢,"bouncer in the corridor, ducks under that",Short,Outside Off
4.4,"Yadav to Burns, no run",â€¢,"good length at off stump, defended on the front foot",Good,Off Stump
4.3,"Yadav to Burns, no run",â€¢,good length and jumping into the body from outside off as he gets forward to defend,Good,Outside Off
4.2,"Yadav to Burns, no run",â€¢,"good length on off stump, blocked on the front foot",Good,Off Stump
4.1,"Yadav to Burns, no run",â€¢,"bouncer hits something in the pitch and flies down leg side, left alone",Short,Leg Stump
3.6,"Bumrah to Wade, no run",â€¢,"good length and in at middle stump, defended on the back foot",Good,Middle Stump
3.5,"Bumrah to Wade, FOUR runs",4,"steered past gully. Short of a length, rising in the corridor. Waits on that and is on top of the bounce as he opens the face late on this to find the gap in the cordon",Good,Outside Off
3.4,"Bumrah to Wade, no run",â€¢,bouncer angled into the body. Ducks under that,Short,Unknown
3.3,"Bumrah to Wade, 2 runs",2,"good length and just outside off, comes on nicely at 141.5kph. Stands tall and punches it to mid-off's right",Good,Outside Off
3.2,"Bumrah to Wade, no run",â€¢,good length and slanted into the corridor. Left alone,Good,Outside Off
3.1,"Bumrah to Burns, 1 leg bye",1lb,"now Burns is struck on the forearm. Left arm. Short ball, not quite as high as he expects it to be as he's looking to let that flay past his shoulder. Ends up in a strange position, arms up. In fact, that might have even got him on the elbow. But his arm is mobile as he waits for the physio. No physio, in fact. He's okay to continue",Short,Unknown
2.6,"Yadav to Wade, no run",â€¢,"good length and pushed across off stump, left alone",Good,Off Stump
2.5,"Yadav to Wade, no run",â€¢,"good length, 139.1kph, away from the corridor. Left alone",Good,Outside Off
2.4,"Yadav to Wade, no run",â€¢,"good length and across the corridor, left alone",Good,Outside Off
2.3,"Yadav to Wade, no run",â€¢,"good length and just outside off, blocked on the front foot",Good,Outside Off
2.2,"Yadav to Wade, no run",â€¢,"good length on off stump, defended into the covers",Good,Outside Off
2.1,"Yadav to Wade, FOUR runs",4,"full and wide outside off, 139kph. Leans into that and opens the face late to get this drive through the covers",Full,Outside Off
1.6,"Bumrah to Burns, no run",â€¢,"good length and into off stump, defended into the covers",Good,Outside Off
1.5,"Bumrah to Burns, no run",â€¢,"full and into the corridor, mistimed drive into the covers",Full,Outside Off
1.4,"Bumrah to Burns, no run",â€¢,"length and in at off stump, defended on the back foot",Good,Off Stump
1.3,"Bumrah to Burns, no run",â€¢,"good length and wide of the corridor, left alone",Good,Outside Off
1.2,"Bumrah to Burns, no run",â€¢,"good length outside off, left alone",Good,Outside Off
1.1,"Bumrah to Burns, no run",â€¢,"appeal for catch behind after a deflection. But that's off his right thigh. Short of a length, straightening and rising in the corridor",Good,Outside Off
0.6,"Yadav to Wade, no run",â€¢,"good length at off stump, defended off the back foot",Good,Off Stump
0.5,"Yadav to Wade, no run",â€¢,"full at off stump, 140.5kph. Blocked on the front foot",Full,Off Stump
0.4,"Yadav to Wade, no run",â€¢,"full and down leg side, can't get bat on the attempted flick",Full,Leg Stump
0.3,"Yadav to Wade, no run",â€¢,"good length at off stump, defended on the front foot",Good,Off Stump
0.2,"Yadav to Wade, FOUR runs",4,"slashed over point. Full and wide outside off, not a lot of swing on that. Chucks the hands at it and he's away",Full,Outside Off
0.1,"Yadav to Wade, no run",â€¢,"good length and just outside off, left alone",Good,Outside Off
